id,name,country,antecedent_aerosol_aod,antecedent_aerosol_state,antecedent_moisture_kgm2,antecedent_moisture_state,antecedent_no2_molec_cm2,ifs_fog_prob,fog_prob_24h,fog_prob_48h,fog_prob_72h,spatial_coverage,stagnation_trend,stagnation_slope_ms,extreme_fog_tail_p95,ens_max_fog_index_peak,target_date,aer_p1,aer_p2,aer_p3,mois_p1,mois_p2,mois_p3,fog_p1,fog_p2,fog_p3,fog_p4,fog_p5,stag_p1,stag_p2,stag_p3,tail_p1,tail_p2,tail_p3,tail_p4
555N002,ALLURI SITHARAMA RAJU,ANDHRA PRADESH,,Moderate,,Moderate,,0.4318,0.2636,0.1756,0.1436,0.4216,Stable,-0.296,0.6312,0.6368,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.2626,0.737,0.0004,0.0,0.2482,0.7478,0.004,0.0043,0.9869,0.0088,0.0
544N001,ANAKAPALLI,ANDHRA PRADESH,,Moderate,,Moderate,,0.4118,0.3726,0.1177,0.157,0.4002,Stable,-0.465,0.6047,0.6054,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.4067,0.5932,0.0001,0.0,0.4532,0.5461,0.0007,0.0182,0.98,0.0018,0.0
553,ANANTHAPURAMU,ANDHRA PRADESH,,Moderate,,Moderate,,0.6441,0.6147,0.6161,0.3626,0.7856,Stable,0.049,0.6345,0.6356,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.1887,0.8103,0.0009,0.0336,0.9,0.0664,0.0036,0.986,0.0104,0.0
555N005,ANNAMAYYA,ANDHRA PRADESH,,Moderate,,Moderate,,0.8954,0.8954,0.7223,0.5965,0.9167,Stable,-0.344,0.6339,0.6346,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0282,0.9718,0.3014,0.6961,0.0025,0.0037,0.9862,0.0101,0.0
555N004,BAPATLA,ANDHRA PRADESH,,Moderate,,Moderate,,0.8705,0.8705,0.1333,0.5293,0.7999,Stable,-0.386,0.6295,0.6308,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0792,0.9208,0.3518,0.6466,0.0016,0.0048,0.9872,0.008,0.0
554,CHITTOOR,ANDHRA PRADESH,,Moderate,,Moderate,,0.6984,0.6984,0.2915,0.3162,1.0,Stable,-0.27,0.6341,0.6358,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0245,0.9544,0.0211,0.2218,0.7731,0.0051,0.0036,0.9861,0.0103,0.0
545N002,DR.B.R.AMBEDKAR KONASEEMA,ANDHRA PRADESH,,Moderate,,Moderate,,0.147,0.0784,0.0,0.147,0.0,Stagnating,-0.588,0.5557,0.5578,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.8554,0.1446,0.0,0.0,0.0,0.6151,0.3848,0.0001,0.1325,0.8675,0.0001,0.0
545,EAST GODAVARI,ANDHRA PRADESH,,Moderate,,Moderate,,0.5883,0.5883,0.0343,0.2942,0.7501,Stable,-0.042,0.6229,0.6276,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0001,0.5926,0.4073,0.0,0.0632,0.9012,0.0355,0.007,0.9875,0.0055,0.0
555N003,ELURU,ANDHRA PRADESH,,Moderate,,Moderate,,0.778,0.778,0.2134,0.3509,0.7781,Stable,-0.043,0.6329,0.6343,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0002,0.6698,0.3301,0.064,0.9009,0.035,0.0039,0.9865,0.0096,0.0
548,GUNTUR,ANDHRA PRADESH,,Moderate,,Moderate,,0.9559,0.9559,0.201,0.6373,1.0,Stable,-0.154,0.6251,0.6268,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0009,0.9991,0.1247,0.8608,0.0146,0.0062,0.9876,0.0063,0.0
545N001,KAKINADA,ANDHRA PRADESH,,Moderate,,Moderate,,0.2482,0.2482,0.0457,0.049,0.1664,Stable,-0.382,0.5981,0.6024,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.1675,0.8313,0.0012,0.0,0.0,0.3464,0.6519,0.0016,0.0249,0.974,0.0012,0.0
547,KRISHNA,ANDHRA PRADESH,,Moderate,,Moderate,,0.6269,0.6269,0.0548,0.4035,0.5993,Stable,-0.437,0.618,0.6195,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.2953,0.7044,0.0003,0.4163,0.5828,0.0009,0.0091,0.9867,0.0042,0.0
552,KURNOOL,ANDHRA PRADESH,,Moderate,,Moderate,,0.4671,0.2889,0.4581,0.1872,0.4548,Stable,0.237,0.6339,0.6373,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0899,0.9062,0.0039,0.0,0.007,0.8024,0.1906,0.0037,0.9862,0.0101,0.0
552N001,NANDYAL,ANDHRA PRADESH,,Moderate,,Moderate,,0.6094,0.4838,0.5228,0.4819,0.6665,Stable,-0.235,0.6368,0.6371,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.4252,0.5748,0.0001,0.1886,0.8042,0.0071,0.0031,0.9851,0.0118,0.0
547N001,NTR,ANDHRA PRADESH,,Moderate,,Moderate,,0.851,0.8039,0.4549,0.7412,1.0,Stable,0.015,0.6359,0.6361,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.154,0.846,0.043,0.904,0.053,0.0033,0.9855,0.0113,0.0
548N001,PALNADU,ANDHRA PRADESH,,Moderate,,Moderate,,0.8471,0.8099,0.6,0.6647,0.9001,Stable,-0.311,0.6339,0.6354,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.173,0.827,0.2646,0.732,0.0034,0.0037,0.9862,0.0101,0.0
555N001,PARVATHIPURAM MANYAM,ANDHRA PRADESH,,Moderate,,Moderate,,0.2157,0.0539,0.1569,0.1961,0.2501,Stagnating,-0.656,0.593,0.5971,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3769,0.623,0.0001,0.0,0.0,0.6986,0.3013,0.0001,0.0314,0.9678,0.0008,0.0
549,PRAKASAM,ANDHRA PRADESH,,Moderate,,Moderate,,0.8577,0.834,0.5912,0.4819,1.0,Stable,-0.331,0.6356,0.6382,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.1244,0.8756,0.2865,0.7107,0.0028,0.0034,0.9856,0.011,0.0
550,SRI POTTI SRIRAMULU NELLORE,ANDHRA PRADESH,,Moderate,,Moderate,,0.6189,0.6189,0.1315,0.0769,0.7142,Stable,-0.215,0.6351,0.6351,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.3524,0.6475,0.0001,0.1707,0.8206,0.0086,0.0035,0.9858,0.0108,0.0
553N001,SRI SATHYA SAI,ANDHRA PRADESH,,Moderate,,Moderate,,0.5734,0.4525,0.4966,0.4705,0.7498,Stable,-0.202,0.6332,0.635,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0003,0.7021,0.2977,0.0,0.1607,0.8297,0.0096,0.0039,0.9864,0.0098,0.0
542,SRIKAKULAM,ANDHRA PRADESH,,Moderate,,Moderate,,0.2475,0.201,0.0857,0.1397,0.2498,Stagnating,-0.638,0.6062,0.6134,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.1709,0.828,0.0011,0.0,0.0,0.6777,0.3223,0.0001,0.0168,0.9811,0.002,0.0
555N006,TIRUPATI,ANDHRA PRADESH,,Moderate,,Moderate,,0.5536,0.5309,0.166,0.1086,0.6154,Stable,-0.163,0.6246,0.6326,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0011,0.8224,0.1765,0.0,0.131,0.8555,0.0135,0.0064,0.9876,0.0061,0.0
544,VISAKHAPATNAM,ANDHRA PRADESH,,Moderate,,Moderate,,0.0392,0.0196,0.0,0.0392,0.0,Stable,-0.45,0.5121,0.5121,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9993,0.0007,0.0,0.0,0.0,0.4338,0.5654,0.0008,0.4046,0.5954,0.0,0.0
543,VIZIANAGARAM,ANDHRA PRADESH,,Moderate,,Moderate,,0.5621,0.5326,0.2026,0.2908,0.6666,Stagnating,-0.58,0.6222,0.6228,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0006,0.7754,0.224,0.0,0.605,0.3949,0.0002,0.0073,0.9874,0.0053,0.0
546,WEST GODAVARI,ANDHRA PRADESH,,Moderate,,Moderate,,0.6927,0.6862,0.1177,0.536,1.0,Stable,-0.102,0.6068,0.608,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0318,0.9522,0.016,0.0922,0.8854,0.0224,0.0163,0.9816,0.0021,0.0
634,YANAM,PUDUCHERRY,,Moderate,,Moderate,,0.3137,0.3137,0.0,0.1569,0.0,Stable,-0.348,0.5632,0.5632,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0115,0.9463,0.0422,0.0,0.0,0.3064,0.6913,0.0023,0.1033,0.8966,0.0001,0.0
551,YSR KADAPA,ANDHRA PRADESH,,Moderate,,Moderate,,0.9046,0.9046,0.6772,0.6092,0.9334,Stable,-0.22,0.6343,0.6343,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0182,0.9818,0.1756,0.8162,0.0082,0.0036,0.9861,0.0103,0.0
638,NICOBARS,ANDAMAN AND NICOBAR ISLANDS,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,0.377,0.399,0.399,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0017,0.6571,0.3411,0.9783,0.0217,0.0,0.0
639,NORTH AND MIDDLE ANDAMAN,ANDAMAN AND NICOBAR ISLANDS,,Moderate,,Moderate,,0.0431,0.0431,0.0078,0.0,0.0,Stable,0.144,0.5839,0.5915,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9992,0.0008,0.0,0.0,0.0,0.0159,0.8663,0.1178,0.0466,0.953,0.0004,0.0
640,SOUTH ANDAMANS,ANDAMAN AND NICOBAR ISLANDS,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,0.006,0.4023,0.4112,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0459,0.9044,0.0498,0.9747,0.0253,0.0,0.0
628,>NJ>W,ARUNACHAL PRADESH,,Moderate,,Moderate,,0.0412,0.0098,0.0,0.0,0.0,Stable,-0.179,0.6104,0.6197,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9993,0.0007,0.0,0.0,0.0,0.1422,0.8459,0.0118,0.0136,0.9838,0.0026,0.0
229,CH>NGL>NG,ARUNACHAL PRADESH,,Moderate,,Moderate,,0.0465,0.0073,0.0,0.0,0.0,Stable,0.138,0.5834,0.5885,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9989,0.0011,0.0,0.0,0.0,0.0167,0.8694,0.1139,0.0476,0.9519,0.0004,0.0
230,DIB>NG VALLEY,ARUNACHAL PRADESH,,Moderate,,Moderate,,0.0435,0.0,0.0028,0.0,0.0,Stable,0.003,0.5784,0.5788,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9991,0.0009,0.0,0.0,0.0,0.0469,0.9044,0.0487,0.0584,0.9413,0.0003,0.0
231,EAST KAMENG,ARUNACHAL PRADESH,,Moderate,,Moderate,,0.0393,0.0197,0.0315,0.0039,0.0,Stable,-0.211,0.5513,0.5521,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9993,0.0007,0.0,0.0,0.0,0.1675,0.8236,0.0089,0.1524,0.8476,0.0,0.0
232,EAST SIANG,ARUNACHAL PRADESH,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,0.078,0.2531,0.2637,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0271,0.8934,0.0795,1.0,0.0,0.0,0.0
233,KURUNG KUMEY,ARUNACHAL PRADESH,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,-0.188,0.47,0.4764,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.1493,0.8398,0.0109,0.7258,0.2742,0.0,0.0
235,LOWER DIB>NG VALLEY,ARUNACHAL PRADESH,,Moderate,,Moderate,,0.1274,0.0196,0.0294,0.0,0.0,Stable,0.051,0.6232,0.6273,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9267,0.0733,0.0,0.0,0.0,0.0331,0.8996,0.0673,0.0069,0.9875,0.0056,0.0
237,PAPUMPARE,ARUNACHAL PRADESH,,Moderate,,Moderate,,0.0078,0.0,0.0,0.0,0.0,Stable,-0.034,0.5023,0.5214,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9999,0.0001,0.0,0.0,0.0,0.0601,0.9023,0.0376,0.4816,0.5184,0.0,0.0
238,TAWANG,ARUNACHAL PRADESH,,Moderate,,Moderate,,0.1687,0.0236,0.0,0.0,0.0,Stable,-0.264,0.6081,0.6203,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.7344,0.2656,0.0,0.0,0.0,0.2159,0.7787,0.0054,0.0153,0.9824,0.0023,0.0
239,TIR>P,ARUNACHAL PRADESH,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,-0.072,0.4062,0.4062,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.077,0.8948,0.0282,0.9697,0.0303,0.0,0.0
240,UPPER SIANG,ARUNACHAL PRADESH,,Moderate,,Moderate,,0.0651,0.0,0.0022,0.0,0.0,Stable,-0.093,0.5807,0.5901,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9965,0.0035,0.0,0.0,0.0,0.0877,0.8884,0.024,0.0533,0.9464,0.0004,0.0
241,UPPER SUBANSIRI,ARUNACHAL PRADESH,,Moderate,,Moderate,,0.0025,0.0025,0.0,0.0,0.0,Stable,-0.168,0.493,0.5555,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.1345,0.8526,0.0129,0.556,0.444,0.0,0.0
242,WEST KAMENG,ARUNACHAL PRADESH,,Moderate,,Moderate,,0.0784,0.0163,0.0033,0.0,0.0,Stable,0.042,0.5684,0.5701,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9925,0.0075,0.0,0.0,0.0,0.0354,0.9012,0.0634,0.0856,0.9142,0.0001,0.0
725,SHI YOMI,ARUNACHAL PRADESH,,Moderate,,Moderate,,0.0118,0.0,0.0,0.0,0.0,Stable,-0.237,0.5538,0.5654,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9999,0.0001,0.0,0.0,0.0,0.1904,0.8026,0.007,0.1411,0.8589,0.0,0.0
678,NAMSAI,ARUNACHAL PRADESH,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,-0.054,0.4372,0.4581,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0684,0.8991,0.0325,0.8954,0.1046,0.0,0.0
243,WEST SIANG,ARUNACHAL PRADESH,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,-0.092,0.1027,0.1027,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.087,0.8888,0.0242,1.0,0.0,0.0,0.0
679,SIANG,ARUNACHAL PRADESH,,Moderate,,Moderate,,0.0079,0.0,0.0,0.0,0.0,Stable,0.005,0.525,0.5306,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9999,0.0001,0.0,0.0,0.0,0.0461,0.9044,0.0495,0.3084,0.6916,0.0,0.0
666,LONGDING,ARUNACHAL PRADESH,,Moderate,,Moderate,,0.0686,0.0,0.0098,0.0,0.0,Stable,0.109,0.5553,0.5564,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9957,0.0043,0.0,0.0,0.0,0.0211,0.8825,0.0964,0.1345,0.8654,0.0,0.0
723,PAKKE KESSANG,ARUNACHAL PRADESH,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,-0.185,0.2621,0.2688,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.147,0.8418,0.0112,1.0,0.0,0.0,0.0
719,LOWER SIANG,ARUNACHAL PRADESH,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,0.075,0.4401,0.4463,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0276,0.894,0.0784,0.8845,0.1155,0.0,0.0
724,LEPA RADA,ARUNACHAL PRADESH,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,0.174,0.4729,0.4729,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0123,0.8488,0.139,0.706,0.294,0.0,0.0
NOT AVAILABLE,BICHOM,ARUNACHAL PRADESH,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,-0.1,0.3753,0.395,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0915,0.8859,0.0227,0.9937,0.0063,0.0,0.0
677,KRA DAADI,ARUNACHAL PRADESH,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,-0.061,0.229,0.2348,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0716,0.8976,0.0308,1.0,0.0,0.0,0.0
718,KAMLE,ARUNACHAL PRADESH,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,-0.115,0.1419,0.1457,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0996,0.8802,0.0202,1.0,0.0,0.0,0.0
NOT AVAILABLE,KEYI PANYOR,ARUNACHAL PRADESH,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,-0.213,0.3289,0.345,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.1692,0.8221,0.0088,0.9997,0.0003,0.0,0.0
236,LOWER SUBANSIRI,ARUNACHAL PRADESH,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,-0.241,0.345,0.345,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.1941,0.7991,0.0067,0.999,0.001,0.0,0.0
294,KOKRAJHAR,ASSAM,,Moderate,,Moderate,,0.6133,0.6133,0.2554,0.1228,0.5005,Stable,-0.179,0.6372,0.6379,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.3952,0.6047,0.0001,0.1422,0.846,0.0118,0.003,0.9849,0.012,0.0
612,CHIRANG,ASSAM,,Moderate,,Moderate,,0.5299,0.5152,0.0098,0.0,0.5005,Stable,0.034,0.6326,0.6344,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0047,0.915,0.0803,0.0,0.0374,0.9022,0.0604,0.004,0.9866,0.0094,0.0
617,UDALGURI,ASSAM,,Moderate,,Moderate,,0.0196,0.0196,0.0,0.0,0.0,Stable,0.135,0.5314,0.5697,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9998,0.0002,0.0,0.0,0.0,0.0172,0.8712,0.1116,0.2647,0.7353,0.0,0.0
616,BAKSA,ASSAM,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,-0.03,0.3615,0.3775,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0586,0.9028,0.0387,0.9972,0.0028,0.0,0.0
285,DHUBRI,ASSAM,,Moderate,,Moderate,,0.9739,0.9739,0.7386,0.314,1.0,Improving,0.657,0.6384,0.6393,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0003,0.9997,0.0001,0.3001,0.6998,0.0028,0.9844,0.0128,0.0
283,DARANG,ASSAM,,Moderate,,Moderate,,0.9118,0.9118,0.0098,0.1863,1.0,Stable,0.329,0.6331,0.6333,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0127,0.9873,0.0029,0.7124,0.2847,0.0039,0.9864,0.0097,0.0
292,KARBI ANGLONG,ASSAM,,Moderate,,Moderate,,0.1911,0.1633,0.1485,0.0701,0.1664,Stable,0.154,0.6178,0.6287,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.5709,0.4291,0.0,0.0,0.0,0.0146,0.8608,0.1246,0.0092,0.9867,0.0041,0.0
299,DIMA HASAO,ASSAM,,Moderate,,Moderate,,0.2808,0.2808,0.1239,0.0848,0.1663,Stable,0.092,0.618,0.6286,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0531,0.9383,0.0085,0.0,0.0,0.0243,0.889,0.0867,0.0091,0.9867,0.0041,0.0
282,CACHAR,ASSAM,,Moderate,,Moderate,,0.386,0.386,0.229,0.0753,0.5003,Stable,-0.381,0.6006,0.601,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0001,0.6105,0.3894,0.0,0.0,0.346,0.6523,0.0017,0.0221,0.9765,0.0014,0.0
293,KARIMGANJ,ASSAM,,Moderate,,Moderate,,0.902,0.8889,0.8497,0.4316,1.0,Stable,0.025,0.637,0.637,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0207,0.9793,0.0401,0.9033,0.0566,0.0031,0.985,0.0119,0.0
289,HAILAKANDI,ASSAM,,Moderate,,Moderate,,0.9902,0.9902,0.853,0.8137,1.0,Stable,-0.151,0.6278,0.6278,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0001,0.9999,0.1225,0.8625,0.015,0.0053,0.9874,0.0073,0.0
710,WEST KARBI ANGLONG,ASSAM,,Moderate,,Moderate,,0.4868,0.4542,0.3332,0.1404,0.4998,Stable,0.161,0.6217,0.6258,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0412,0.947,0.0118,0.0,0.0138,0.857,0.1293,0.0075,0.9874,0.0052,0.0
290,JORHAT,ASSAM,,Moderate,,Moderate,,1.0,1.0,0.9216,0.8627,1.0,Stable,0.2,0.6357,0.636,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,1.0,0.0098,0.8318,0.1583,0.0033,0.9855,0.0111,0.0
288,GOLAGHAT,ASSAM,,Moderate,,Moderate,,0.9332,0.9293,0.6316,0.7217,1.0,Stable,0.197,0.6344,0.6349,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0039,0.9961,0.01,0.8334,0.1565,0.0036,0.986,0.0104,0.0
301,SONITPUR,ASSAM,,Moderate,,Moderate,,0.2289,0.2289,0.0,0.0,0.3336,Improving,0.561,0.6176,0.6205,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.2815,0.7182,0.0003,0.0,0.0,0.0002,0.4188,0.581,0.0094,0.9866,0.004,0.0
284,DHEMAJI,ASSAM,,Moderate,,Moderate,,0.397,0.3872,0.1569,0.1618,0.2497,Stable,-0.045,0.6283,0.6331,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.524,0.4759,0.0,0.0,0.0645,0.9008,0.0348,0.0052,0.9874,0.0074,0.0
708,CHARAIDEO,ASSAM,,Moderate,,Moderate,,0.6863,0.549,0.3922,0.098,1.0,Stable,0.024,0.5995,0.5995,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0422,0.9463,0.0115,0.0402,0.9033,0.0565,0.0233,0.9754,0.0013,0.0
302,TINSUKIA,ASSAM,,Moderate,,Moderate,,0.5291,0.5291,0.2841,0.2905,0.6662,Stable,0.008,0.6339,0.6344,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0049,0.9169,0.0782,0.0,0.0453,0.9043,0.0504,0.0037,0.9862,0.0101,0.0
295,LAKHIMPUR,ASSAM,,Moderate,,Moderate,,0.1569,0.1569,0.0262,0.0098,0.1666,Stable,-0.062,0.6349,0.6387,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.8055,0.1945,0.0,0.0,0.0,0.0721,0.8974,0.0305,0.0035,0.9859,0.0106,0.0
706,MAJULI,ASSAM,,Moderate,,Moderate,,1.0,1.0,0.8627,0.7843,1.0,Stable,0.222,0.6343,0.6343,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,1.0,0.008,0.8149,0.1771,0.0036,0.986,0.0103,0.0
300,SIBSAGAR,ASSAM,,Moderate,,Moderate,,0.9608,0.9608,0.8824,0.7255,1.0,Stable,0.175,0.635,0.635,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0007,0.9993,0.0122,0.8486,0.1392,0.0035,0.9858,0.0107,0.0
297,NAGAON,ASSAM,,Moderate,,Moderate,,0.6235,0.6078,0.3099,0.2196,0.5999,Stable,0.237,0.6281,0.6281,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.3195,0.6803,0.0002,0.007,0.8028,0.1902,0.0052,0.9874,0.0074,0.0
296,MARIGAON,ASSAM,,Moderate,,Moderate,,0.8824,0.8529,0.7255,0.8431,1.0,Stable,0.214,0.6262,0.6263,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0498,0.9502,0.0086,0.8208,0.1706,0.0058,0.9876,0.0067,0.0
618,KAMRUP METRO,ASSAM,,Moderate,,Moderate,,0.8235,0.7647,0.5882,0.8235,1.0,Stable,0.18,0.6253,0.6253,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.319,0.681,0.0117,0.8451,0.1433,0.0061,0.9876,0.0063,0.0
298,NALBARI,ASSAM,,Moderate,,Moderate,,0.9706,0.9706,0.3043,0.422,1.0,Stable,0.274,0.6365,0.6366,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0003,0.9997,0.0049,0.7692,0.2259,0.0032,0.9852,0.0116,0.0
